query,intent,brand,model,year,sensor
what about Vision system on the Evija?,contextual_followups,Lotus,Evija,2020,Vision system
production vehicle logs for Zeekr Tire Pressure?,collection_method,Zeekr,X,2024,Tire Pressure
what about control network on the 07,contextual_followups,Jiyue,07,2024,Control Network
why Tyre Pressure collection discontinued Emira?,temporal_stats,Lotus,Emira,2022,Tyre Pressure
peak values Trunk sensor 03 TCR last week,statistical_query,Lynk & Co,03 TCR,2024,Trunk sensor
average reading of NVH 009,statistical_query,Zeekr,009,2025,NVH
peak values TPMS Polestar 3 last week,statistical_query,Polestar,Polestar 3,2023,TPMS
permission for Panda Mini LIDAR data,access_governance,Geely Auto,Panda Mini,2024,LIDAR
pull Boot latch sensor history for S90,imperative_commands,Volvo,S90,2017,Boot latch sensor
request access to 01 Acoustics,access_governance,Jiyue,01,2023,Acoustics
how Boot latch sensor works in Lotus Eletre?,data_definition,Lotus,Eletre,2024,Boot latch sensor
abnormal LIDAR readings Evija,anomaly_info,Lotus,Evija,2022,LIDAR
what ix Acoustics for Jiyue?,data_definition,Jiyue,07,2025,Acoustics
Polestar 2 Acoustics data type?,data_definition,Polestar,Polestar 2,2024,Acoustics
Eletre TPMS data type?,data_definition,Lotus,Eletre,2024,TPMS
common range for TPMS in Volvo,statistical_query,Volvo,EM90,2024,TPMS
TPMS performance Jiyue vs Jiyue,comparative_analysis,Jiyue,07,2025,TPMS
production vehicle logs for Polestar LIDAR?,collection_method,Polestar,Polestar 5,2026,LIDAR
avg value for Noise and Vibration 01,statistical_query,Lynk & Co,01,2019,Noise and Vibration
peak values Acoustics Eletre last week,statistical_query,Lotus,Eletre,2025,Acoustics
common range for Noise and Vibration in Volvo,statistical_query,Volvo,V60 Recharge,2023,Noise and Vibration
identify Control Network anomalies Polestar,anomaly_info,Polestar,Polestar 3,2023,Control Network
why Bonnet sensor collection discontinued Emira?,temporal_stats,Lotus,Emira,2025,Bonnet sensor
why ADAS Camera collection discontinued Polestar 4?,temporal_stats,Polestar,Polestar 4,2025,ADAS Camera
contact for Z10 CAN-FD access,access_governance,Lynk & Co,Z10,2024,CAN-FD
get me CAN-FD stats for Polestar 5,imperative_commands,Polestar,Polestar 5,2026,CAN-FD
CAN-FD glitching on Coolray?,anomaly_info,Geely Auto,Coolray,2022,CAN-FD
what types of nvh data are available for lotus evija,data_definition,Lotus,Evija,2024,NVH
03 TCR Hood sensor data type?,data_definition,Lynk & Co,03 TCR,2023,Hood sensor
what is traction battery for volvo,data_definition,Volvo,XC90,2024,Traction battery
how long we have Vision system data for Starray?,temporal_stats,Geely Auto,Starray,2023,Vision system
what types of tyre pressure data are available for lotus emeya,data_definition,Lotus,Emeya,2024,Tyre Pressure
Noise and Vibration description Lynk & Co 09 Ultra,data_definition,Lynk & Co,09 Ultra,2025,Noise and Vibration
Is LiDAR data live for 07?,collection_method,Jiyue,07,2024,LiDAR
is Traction battery more accurate in XC60 or EX30?,comparative_analysis,Volvo,XC60,2025,Traction battery
special attachments for 7x canbus,collection_method,Zeekr,7X,2025,CANBUS
Show me outliers for Traction battery in 07,anomaly_info,Jiyue,07,2024,Traction battery
noise and vibration performance polestar vs lynk & co,comparative_analysis,Polestar,Polestar 5,2026,Noise and Vibration
is Tyre Pressure data stream broken for Coolray?,system_status_check,Geely Auto,Coolray,2018,Tyre Pressure
What are the peaks of HV battery in Volvo EX30?,statistical_query,Volvo,EX30,2026,HV battery
comparr NVH between 001 and 03 TCR,comparative_analysis,Zeekr,001,2024,NVH
TPMS performance Lotus vs Lotus,comparative_analysis,Lotus,Emeya,2024,TPMS
average reading of Acoustics X,statistical_query,Zeekr,X,2025,Acoustics
difference in tyre pressure data for volvo vs volvo,comparative_analysis,Volvo,EM90,2024,Tyre Pressure
who working on Geely Auto Hood sensor right now?,access_governance,Geely Auto,Galaxy L7,2025,Hood sensor
contact for Polestar 2 Tire Pressure access,access_governance,Polestar,Polestar 2,2025,Tire Pressure
Bonnet sensor description Lynk & Co 08 EM-P,data_definition,Lynk & Co,08 EM-P,2025,Bonnet sensor
tyre pressure glitching on x,anomaly_info,Zeekr,X,2024,Tyre Pressure
what about Vision system on the Emeya?,contextual_followups,Lotus,Emeya,2025,Vision system
CANBUS performance Jiyue vs Zeekr,comparative_analysis,Jiyue,01,2023,CANBUS
Is Acoustics data live for Galaxy L7?,collection_method,Geely Auto,Galaxy L7,2023,Acoustics
ADAS Camera description Lynk & Co 09 Ultra,data_definition,Lynk & Co,09 Ultra,2022,ADAS Camera
must use HEAD acoustics for data?,collection_method,Lotus,Eletre,2025,Traction battery
bad data points in Lidar 01,anomaly_info,Jiyue,01,2024,Lidar
avg value for High Voltage battery 07,statistical_query,Jiyue,07,2024,High Voltage battery
how long we have CANBUS data for 01?,temporal_stats,Jiyue,01,2023,CANBUS
start date for nvh logs 05,temporal_stats,Lynk & Co,05,2023,NVH
what about TPMS on the 09 Ultra?,contextual_followups,Lynk & Co,09 Ultra,2023,TPMS
peak values CANBUS 07 last week,statistical_query,Jiyue,07,2024,CANBUS
why we use MDF4 for Trunk sensor?,data_definition,Jiyue,01,2025,Trunk sensor
frequency of Control Network errors Geely Auto,anomaly_info,Geely Auto,Coolray,2020,Control Network
since when Boot latch sensor collected Zeekr?,temporal_stats,Zeekr,001,2023,Boot latch sensor
compare CAN-FD between Galaxy L7 and Coolray,comparative_analysis,Geely Auto,Galaxy L7,2025,CAN-FD
pull Vision system history for Eletre,imperative_commands,Lotus,Eletre,2025,Vision system
what about nvh on the 07,contextual_followups,Jiyue,07,2025,NVH
get me Vision system stats for X,imperative_commands,Zeekr,X,2024,Vision system
is 5 CAN-FD streaming?,collection_method,Polestar,Polestar 5,2026,CAN-FD
what noise and vibration means for car 01,data_definition,Jiyue,01,2024,Noise and Vibration
what High Voltage battery means for car Polestar 4?,data_definition,Polestar,Polestar 4,2025,High Voltage battery
LiDAR glitching on 001?,anomaly_info,Zeekr,001,2021,LiDAR
Is LiDAR data live for XC90?,collection_method,Volvo,XC90,2021,LiDAR
for 09 Ultra what HV battery info exists?,data_definition,Lynk & Co,09 Ultra,2023,HV battery
give me Control Network max min Mix,statistical_query,Zeekr,Mix,2024,Control Network
erratic trunk sensor data in ex30,anomaly_info,Volvo,EX30,2024,Trunk sensor
bad data points in High Voltage battery Polestar 5,anomaly_info,Polestar,Polestar 5,2025,High Voltage battery
average reading of Autonomous sensor 01,statistical_query,Jiyue,01,2023,Autonomous sensor
What types of Autonomous sensor data are available for Volvo EX30?,data_definition,Volvo,EX30,2024,Autonomous sensor
why we use HDF5 for Trunk sensor?,data_definition,Zeekr,Mix,2025,Trunk sensor
common range for tyre pressure in zeekr,statistical_query,Zeekr,007,2024,Tyre Pressure
frequency of Autonomous sensor errors Jiyue,anomaly_info,Jiyue,07,2025,Autonomous sensor
does Acoustics need Roof-mounted rig for collection?,collection_method,Polestar,Polestar 5,2026,Acoustics
can-fd performance zeekr vs lynk & co,comparative_analysis,Zeekr,X,2025,CAN-FD
Noise and Vibration glitching on XC90?,anomaly_info,Volvo,XC90,2024,Noise and Vibration
mean Control Network across Lynk & Co fleet,statistical_query,Lynk & Co,Z10,2025,Control Network
status of ADAS Camera collection in Zeekr,system_status_check,Zeekr,001,2021,ADAS Camera
average reading of LiDAR 09 Ultra,statistical_query,Lynk & Co,09 Ultra,2025,LiDAR
What are the peaks of NVH in Jiyue 01?,statistical_query,Jiyue,01,2023,NVH
bad data points in ADAS Camera Emira,anomaly_info,Lotus,Emira,2025,ADAS Camera
What types of HV battery data are available for Geely Auto Coolray?,data_definition,Geely Auto,Coolray,2021,HV battery
bad data points in bonnet sensor 07,anomaly_info,Jiyue,07,2024,Bonnet sensor
is TPMS more accurate in 01 or 08 EM-P?,comparative_analysis,Jiyue,01,2023,TPMS
how control network works in lynk & co 09 ultra,data_definition,Lynk & Co,09 Ultra,2022,Control Network
sonce when CAN-FD collected Jiyue?,temporal_stats,Jiyue,01,2024,CAN-FD
must use canoe hardware for polestar data,collection_method,Polestar,Polestar 5,2025,LIDAR
permission for EM90 Hood sensor data,access_governance,Volvo,EM90,2025,Hood sensor
what Vision system means for car 009?,data_definition,Zeekr,009,2024,Vision system
status of lidar collection in geely auto,system_status_check,Geely Auto,Starray,2024,LiDAR
is Hood sensor data stream broken for 05?,system_status_check,Lynk & Co,05,2022,Hood sensor
must use Roof-mounted rig for data?,collection_method,Volvo,V60 Recharge,2022,Tire Pressure
get me Control Network stats for V60 Recharge,imperative_commands,Volvo,V60 Recharge,2024,Control Network
compare Boot latch sensor between 09 Ultra and 01,comparative_analysis,Lynk & Co,09 Ultra,2024,Boot latch sensor
responsible person for lidar zeekr,access_governance,Zeekr,X,2025,LIDAR
01 Tire Pressure data type?,data_definition,Jiyue,01,2023,Tire Pressure
what about ADAS Camera on the 001?,contextual_followups,Zeekr,001,2023,ADAS Camera
who working on Boot latch sensor right now?,access_governance,Volvo,S90,2018,Boot latch sensor
peak values bonnet sensor ex30 last week,statistical_query,Volvo,EX30,2026,Bonnet sensor
check Jiyue Acoustics database health,system_status_check,Jiyue,07,2025,Acoustics
difference in Noise and Vibration data for Volvo vs Jiyue,comparative_analysis,Volvo,XC90,2016,Noise and Vibration
get me Hood sensor stats for XC90,imperative_commands,Volvo,XC90,2015,Hood sensor
explain Tire Pressure context in V60 Recharge,data_definition,Volvo,V60 Recharge,2021,Tire Pressure
how boot latch sensor works in jiyue 01,data_definition,Jiyue,01,2023,Boot latch sensor
responsible person for LIDAR Polestar,access_governance,Polestar,Polestar 3,2025,LIDAR
explain LIDAR context in EM90,data_definition,Volvo,EM90,2024,LIDAR
what is CAN-FD average in Geely Auto Geometry E?,statistical_query,Geely Auto,Geometry E,2022,CAN-FD
Who has access to High Voltage battery logs for Jiyue?,access_governance,Jiyue,01,2023,High Voltage battery
peak values LiDAR 7X last week,statistical_query,Zeekr,7X,2024,LiDAR
what High Voltage battery means for car 01?,data_definition,Jiyue,01,2024,High Voltage battery
request access to Coolray Tyre Pressure,access_governance,Geely Auto,Coolray,2019,Tyre Pressure
production vehicle logs for Lotus Tyre Pressure?,collection_method,Lotus,Emeya,2025,Tyre Pressure
is Traction battery more accurate in Polestar 5 or Polestar 5?,comparative_analysis,Polestar,Polestar 5,2026,Traction battery
When did we start collecting ADAS Camera for Galaxy L7?,temporal_stats,Geely Auto,Galaxy L7,2023,ADAS Camera
what is Vision system average in 7X?,statistical_query,Zeekr,7X,2025,Vision system
difference in noise and vibration data for volvo vs lynk & co,comparative_analysis,Volvo,XC60,2018,Noise and Vibration
whqt about Traction battery on the Polestar 2?,contextual_followups,Polestar,Polestar 2,2025,Traction battery
is NVH data stream broken for V60 Recharge?,system_status_check,Volvo,V60 Recharge,2024,NVH
erratic TPMS data in EX30,anomaly_info,Volvo,EX30,2026,TPMS
compare Vixion system between Emira and Emeya,comparative_analysis,Lotus,Emira,2024,Vision system
bad data points in HV battrry 009,anomaly_info,Zeekr,009,2025,HV battery
average reading of high voltage battery coolray,statistical_query,Geely Auto,Coolray,2018,High Voltage battery
get me high voltage battery stats for ex30,imperative_commands,Volvo,EX30,2024,High Voltage battery
pull Hood sensor history for Polestar 5,imperative_commands,Polestar,Polestar 5,2026,Hood sensor
for evija what vision system info exists,data_definition,Lotus,Evija,2025,Vision system
When did we start collecting Traction battery for Emigrant?,temporal_stats,Geely Auto,Emigrant,2021,Traction battery
Is High Voltage battery data live for X?,collection_method,Zeekr,X,2023,High Voltage battery
show Jiyue CAN-FD owner now,imperative_commands,Jiyue,01,2024,CAN-FD
is High Voltage battery data stream broken for EX30?,system_status_check,Volvo,EX30,2024,High Voltage battery
does Tyre Pressure need CANoe hardware for collection?,collection_method,Lynk & Co,01,2018,Tyre Pressure
common range for TPMS in Lynk & Co,statistical_query,Lynk & Co,Z10,2024,TPMS
first time autonomous sensor was used in lotus,temporal_stats,Lotus,Emeya,2025,Autonomous sensor
What types of Traction battery data are available for Lynk & Co 05?,data_definition,Lynk & Co,05,2021,Traction battery
What are the peaks of High Voltage battery in Lynk & Co 01?,statistical_query,Lynk & Co,01,2022,High Voltage battery
can-fd performance zeekr vs lotus,comparative_analysis,Zeekr,001,2025,CAN-FD
common range for Tyre Pressure in Lotus,statistical_query,Lotus,Emira,2025,Tyre Pressure
show me outliers for canbus in 001,anomaly_info,Zeekr,001,2024,CANBUS
erratic LiDAR data in 01,anomaly_info,Jiyue,01,2025,LiDAR
Show me outliers for ADAS Camera in Polestar 3,anomaly_info,Polestar,Polestar 3,2025,ADAS Camera
pull Boot latch sensor history for Mix,imperative_commands,Zeekr,Mix,2024,Boot latch sensor
what about LiDAR on the XC60?,contextual_followups,Volvo,XC60,2020,LiDAR
explain Control Network context in Polestar 3,data_definition,Polestar,Polestar 3,2024,Control Network
What types of NVH data are available for Lotus Emeya?,data_definition,Lotus,Emeya,2024,NVH
What are the peaks of Bonnet sensor in Zeekr 001?,statistical_query,Zeekr,001,2024,Bonnet sensor
special attachments for ex30 lidar,collection_method,Volvo,EX30,2023,LiDAR
difference in Lidar data for vs Geely Auto,comparative_analysis,Lotus,Evija,2020,Lidar
What types of Tyre Pressure data are available for Panda Mini?,data_definition,Geely Auto,Panda Mini,2025,Tyre Pressure
pull CANBUS history for Polestar 5,imperative_commands,Polestar,Polestar 5,2025,CANBUS
compare TPMS between EX90 and EM90,comparative_analysis,Volvo,EX90,2025,TPMS
for 2 what LIDAR info exists?,data_definition,Polestar,Polestar 2,2021,LIDAR
check Volvo NVH database health,system_status_check,Volvo,EX90,2024,NVH
average reading of HV battery Mix,statistical_query,Zeekr,Mix,2025,HV battery
status of adas camera collection in geely auto,system_status_check,Geely Auto,Geometry E,2023,ADAS Camera
is Boot latch sensor more accurate in Emigrant or Starray?,comparative_analysis,Geely Auto,Emigrant,2023,Boot latch sensor
avg value for Control Network 07,statistical_query,Jiyue,07,2025,Control Network
difference in Tyre Pressure data for Geely Auto vs Geely Auto,comparative_analysis,Geely Auto,Emigrant,2021,Tyre Pressure
Tire Pressure glitching on Evija?,anomaly_info,Lotus,Evija,2021,Tire Pressure
compare high voltage battery between emeya and emeya,comparative_analysis,Lotus,Emeya,2025,High Voltage battery
show Lotus LIDAR owner now,imperative_commands,Lotus,Evija,2023,LIDAR
how long we have Tire Pressure data for Emeya?,temporal_stats,Lotus,Emeya,2024,Tire Pressure
give me trunk sensor max min starray,statistical_query,Geely Auto,Starray,2023,Trunk sensor
is CANBUS more accurate in Coolray or Coolray?,comparative_analysis,Geely Auto,Coolray,2024,CANBUS
special attachments for 01 High Voltage battery?,collection_method,Jiyue,01,2025,High Voltage battery
abnormal Noise and Vibration readings 09 Ultra,anomaly_info,Lynk & Co,09 Ultra,2024,Noise and Vibration
What types of Vision system data are available for Geely Auto Emigrant?,data_definition,Geely Auto,Emigrant,2023,Vision system
request access to EX90 Vision system,access_governance,Volvo,EX90,2025,Vision system
avg value for High Voltage battery S90,statistical_query,Volvo,S90,2022,High Voltage battery
responsible person for Vision system Volvo,access_governance,Volvo,XC90,2024,Vision system
compare LIDAR between Evija and Emira,comparative_analysis,Lotus,Evija,2023,LIDAR
special attachments for Polestar 5 Acoustics?,collection_method,Polestar,Polestar 5,2026,Acoustics
identify TPMS anomalies Geely Auto,anomaly_info,Geely Auto,Starray,2022,TPMS
status of Hood sensor collection in Volvo,system_status_check,Volvo,EX90,2025,Hood sensor
since when noise and vibration collected zeekr,temporal_stats,Zeekr,Mix,2025,Noise and Vibration
is 7X Bonnet sensor streaming?,collection_method,Zeekr,7X,2024,Bonnet sensor
first time HV battery was used in Lynk & Co?,temporal_stats,Lynk & Co,09 Ultra,2024,HV battery
erratic CANBUS data in Eletre,anomaly_info,Lotus,Eletre,2025,CANBUS
is Vision system data stream broken for Galaxy L7?,system_status_check,Geely Auto,Galaxy L7,2024,Vision system
check Lotus Tire Pressure database health,system_status_check,Lotus,Emeya,2025,Tire Pressure
why ADAS Camera spikes in Jiyue?,anomaly_info,Jiyue,07,2024,ADAS Camera
how NVH works in Volvo S90?,data_definition,Volvo,S90,2025,NVH
difference in Noise and Vibration data for Lotus vs Jiyue,comparative_analysis,Lotus,Eletre,2024,Noise and Vibration
bad data points in Lidar XC60,anomaly_info,Volvo,XC60,2025,Lidar
TPMS prrformance Geely Auto vs Jiyue,comparative_analysis,Geely Auto,Galaxy L7,2023,TPMS
show Lotus Vision system owner now,imperative_commands,Lotus,Emira,2022,Vision system
check jiyue high voltage battery database health,system_status_check,Jiyue,01,2025,High Voltage battery
pull CAN-FD history for Polestar 5,imperative_commands,Polestar,Polestar 5,2025,CAN-FD
collected qfter release for Polestar 3?,collection_method,Polestar,Polestar 3,2023,Vision system
is tpms more accurate in evija or emira,comparative_analysis,Lotus,Evija,2020,TPMS
CANBUS prrformance Jiyue vs Volvo,comparative_analysis,Jiyue,07,2024,CANBUS
show Zeekr Acoustics owner now,imperative_commands,Zeekr,009,2025,Acoustics
give me TPMS max min Starray,statistical_query,Geely Auto,Starray,2023,TPMS
how CANBUS works on Geely Auto Coolray?,data_definition,Geely Auto,Coolray,2018,CANBUS
Autonomous sensor history Volvo,temporal_stats,Volvo,XC60,2022,Autonomous sensor
is TPMS more accurate in 08 EM-P or 09 Ultra?,comparative_analysis,Lynk & Co,08 EM-P,2023,TPMS
Who has access to Noise and Vibration logs for Lotus?,access_governance,Lotus,Emira,2022,Noise and Vibration
get me Autonomous sensor stats for 01,imperative_commands,Jiyue,01,2023,Autonomous sensor
since when Trunk sensor collected Lotus?,temporal_stats,Lotus,Eletre,2023,Trunk sensor
is LIDAR more accurate in 03 TCR or 03 TCR?,comparative_analysis,Lynk & Co,03 TCR,2020,LIDAR
Is Control Network data live for Eletre?,collection_method,Lotus,Eletre,2023,Control Network
is Tire Pressure more accurate in 01 or 07?,comparative_analysis,Jiyue,01,2025,Tire Pressure
is Tire Pressure data stream broken for Starray?,system_status_check,Geely Auto,Starray,2023,Tire Pressure
why we use csv for tpms,data_definition,Jiyue,01,2023,TPMS
compare CANBUS between Polestar 5 and Polestar 4,comparative_analysis,Polestar,Polestar 5,2026,CANBUS
first time Bonnet sensor was used in Jiyue?,temporal_stats,Jiyue,07,2024,Bonnet sensor
get me Tire Pressure stats for Evija,imperative_commands,Lotus,Evija,2022,Tire Pressure
bad data points in tpms polestar 5,anomaly_info,Polestar,Polestar 5,2025,TPMS
compare Bonnet sensor between Coolray and Coolray,comparative_analysis,Geely Auto,Coolray,2019,Bonnet sensor
difference in Lidar data for Lotus vs Jiyue,comparative_analysis,Lotus,Eletre,2025,Lidar
production vehicle logs for volvo nvh,collection_method,Volvo,EX30,2026,NVH
get me Autonomous sensor stats for Emigrant,imperative_commands,Geely Auto,Emigrant,2024,Autonomous sensor
When did we start collecting Acoustics for Eletre?,temporal_stats,Lotus,Eletre,2023,Acoustics
is ex90 acoustics streaming,collection_method,Volvo,EX90,2024,Acoustics
is Traction battery more accurate in 01 or 01?,comparative_analysis,Lynk & Co,01,2022,Traction battery
when did we start collecting autonomous sensor for polestar 2,temporal_stats,Polestar,Polestar 2,2021,Autonomous sensor
frequency of Boot lqtch sensor errors Lotus,anomaly_info,Lotus,Evija,2021,Boot latch sensor
Tire Pressure description Volvo XC60,data_definition,Volvo,XC60,2025,Tire Pressure
xtatus of Tire Pressure collection in Volvo,system_status_check,Volvo,EX90,2024,Tire Pressure
pull High Voltage battery history for 09 Ultra,imperative_commands,Lynk & Co,09 Ultra,2021,High Voltage battery
Trunk sensor glitching on Emira?,anomaly_info,Lotus,Emira,2025,Trunk sensor
compare high voltage battery between polestar 4 and polestar 3,comparative_analysis,Polestar,Polestar 4,2025,High Voltage battery
why Bonnet sensor collection discontinued 09 Ultra?,temporal_stats,Lynk & Co,09 Ultra,2024,Bonnet sensor
prrmission for XC60 Traction battery data,access_governance,Volvo,XC60,2017,Traction battery
abnormal Vision system readings XC90,anomaly_info,Volvo,XC90,2016,Vision system
is Traction battery more accurate in Emira or 07?,comparative_analysis,Lotus,Emira,2024,Traction battery
is HV battery data stream broken for Galaxy L7?,system_status_check,Geely Auto,Galaxy L7,2024,HV battery
start date for CANBUS logs Eletre,temporal_stats,Lotus,Eletre,2023,CANBUS
is Bonnet sensor more accurate in 09 Ultra or 09 Ultra?,comparative_analysis,Lynk & Co,09 Ultra,2024,Bonnet sensor
start date for Trunk sensor logs XC90,temporal_stats,Volvo,XC90,2022,Trunk sensor
what types of high voltage battery data are available for zeekr 009,data_definition,Zeekr,009,2023,High Voltage battery
pull HV battery history for X,imperative_commands,Zeekr,X,2025,HV battery
how Vision system works in Lotus Evija?,data_definition,Lotus,Evija,2022,Vision system
for z10 what control network info exists,data_definition,Lynk & Co,Z10,2024,Control Network
nvh glitching on x,anomaly_info,Zeekr,X,2023,NVH
must use HEAD acoustics for Polestar data?,collection_method,Polestar,Polestar 4,2025,Acoustics
is LIDAR data stream broken for 5?,system_status_check,Polestar,Polestar 5,2025,LIDAR
what is High Voltage battery average in Geely Auto Emigrant?,statistical_query,Geely Auto,Emigrant,2022,High Voltage battery
what is TPMS for Lotus?,data_definition,Lotus,Eletre,2023,TPMS
explain Bonnet sensor context in Emigrant,data_definition,Geely Auto,Emigrant,2024,Bonnet sensor
is Hood sensor still being recorded for 7X?,temporal_stats,Zeekr,7X,2025,Hood sensor
when stop Lidar for Zeekr?,temporal_stats,Zeekr,7X,2025,Lidar
first time Tyre Pressure was used in Zeekr?,temporal_stats,Zeekr,007,2024,Tyre Pressure
is Vision system more accurate in Emeya or Evija?,comparative_analysis,Lotus,Emeya,2024,Vision system
is TPMS data stream broken for 08 EM-P?,system_status_check,Lynk & Co,08 EM-P,2025,TPMS
compare Control Network between XC90 and XC90,comparative_analysis,Volvo,XC90,2015,Control Network
peak values Boot latch sensor Polestar 3 last week,statistical_query,Polestar,Polestar 3,2025,Boot latch sensor
collected after release for 007?,collection_method,Zeekr,007,2025,ADAS Camera
request access to 01 noise and vibration,access_governance,Lynk & Co,01,2024,Noise and Vibration
definition of HV battery telemetry Geely Auto,data_definition,Geely Auto,Galaxy L7,2023,HV battery
difference in LiDAR data for Lynk & Co vs Lynk & Co,comparative_analysis,Lynk & Co,09 Ultra,2021,LiDAR
is LIDAR more accurate in Emeya or Eletre?,comparative_analysis,Lotus,Emeya,2025,LIDAR
compare Control Network between 01 and 07,comparative_analysis,Jiyue,01,2024,Control Network
who working on Polestar CAN-FD right now?,access_governance,Polestar,Polestar 3,2025,CAN-FD
frequency of High Voltqge battery errors Lotus,anomaly_info,Lotus,Eletre,2024,High Voltage battery
how LIDAR works in Zeekr Mix?,data_definition,Zeekr,Mix,2025,LIDAR
What are the peaks of High Voltage battery in Lynk & Co 08 EM-P?,statistical_query,Lynk & Co,08 EM-P,2024,High Voltage battery
what Tire Pressure means for car EX30?,data_definition,Volvo,EX30,2023,Tire Pressure
compare LIDAR between EM90 and Geometry E,comparative_analysis,Volvo,EM90,2024,LIDAR
production vehicle logs for Geely Auto Autonomous sensor?,collection_method,Geely Auto,Starray,2024,Autonomous sensor
what is Trunk sensor for Zeekr?,data_definition,Zeekr,7X,2024,Trunk sensor
how ADAS Camera works in Jiyue 01?,data_definition,Jiyue,01,2025,ADAS Camera
Who has access to Vision system logs for Lynk & Co?,access_governance,Lynk & Co,08 EM-P,2025,Vision system
frequency of Vision system errors Lotus,anomaly_info,Lotus,Eletre,2025,Vision system
contact for 01 Noise and Vibration access,access_governance,Jiyue,01,2023,Noise and Vibration
abnormal Vision system readings 009,anomaly_info,Zeekr,009,2024,Vision system
difference in Noise and Vibration data for Volvo vs Zeekr,comparative_analysis,Volvo,EX90,2025,Noise and Vibration
outlier reason for Lidar logs,anomaly_info,Jiyue,01,2025,Lidar
bad data points in boot latch sensor mix,anomaly_info,Zeekr,Mix,2024,Boot latch sensor
bad data points in HV battery Polestar 3,anomaly_info,Polestar,Polestar 3,2025,HV battery
check Zeekr HV battery database health,system_status_check,Zeekr,X,2023,HV battery
bad data points in Trunk sensor Evija,anomaly_info,Lotus,Evija,2025,Trunk sensor
show geely auto tpms owner now,imperative_commands,Geely Auto,Galaxy L7,2025,TPMS
responsible person for LIDAR Geely Auto,access_governance,Geely Auto,Panda Mini,2024,LIDAR
What are the peakx of TPMS in Polestar Polestar 4?,statistical_query,Polestar,Polestar 4,2024,TPMS
peak values LiDAR EM90 last week,statistical_query,Volvo,EM90,2025,LiDAR
start date for Autonomous sensor logs X,temporal_stats,Zeekr,X,2023,Autonomous sensor
erratic traction battery data in 07,anomaly_info,Jiyue,07,2025,Traction battery
permission for V60 Recharge High Voltage battery data,access_governance,Volvo,V60 Recharge,2025,High Voltage battery
What types of LIDAR data are available for Polestar Polestar 5?,data_definition,Polestar,Polestar 5,2026,LIDAR
mean Bonnet sensor across Lotus fleet,statistical_query,Lotus,Eletre,2025,Bonnet sensor
erratic Acoustics data in XC90,anomaly_info,Volvo,XC90,2020,Acoustics
how is adas camera data gathered for volvo,collection_method,Volvo,S90,2020,ADAS Camera
request access to V60 Recharge Acoustics,access_governance,Volvo,V60 Recharge,2025,Acoustics
is bonnet sensor data stream broken for ex90,system_status_check,Volvo,EX90,2024,Bonnet sensor
is Lidar data stream broken for 05?,system_status_check,Lynk & Co,05,2022,Lidar
Boot latch sensor description Volvo EX90,data_definition,Volvo,EX90,2025,Boot latch sensor
why we use JSON for NVH?,data_definition,Lotus,Evija,2023,NVH
is 07 HV battery streaming?,collection_method,Jiyue,07,2025,HV battery
pull bonnet sensor history for polestar 5,imperative_commands,Polestar,Polestar 5,2026,Bonnet sensor
grt me Noise and Vibration stats for 01,imperative_commands,Jiyue,01,2025,Noise and Vibration
peak values NVH 03 TCR last week,statistical_query,Lynk & Co,03 TCR,2020,NVH
avg value for CAN-FD Polestar 3,statistical_query,Polestar,Polestar 3,2024,CAN-FD
Control Network history Lynk & Co,temporal_stats,Lynk & Co,08 EM-P,2024,Control Network
for Polestar 2 what Autonomous sensor info exists?,data_definition,Polestar,Polestar 2,2023,Autonomous sensor
contact for 007 TPMS access,access_governance,Zeekr,007,2025,TPMS
responsible person for adas camera zeekr,access_governance,Zeekr,009,2022,ADAS Camera
how long we have Acoustics data for Galaxy L7?,temporal_stats,Geely Auto,Galaxy L7,2025,Acoustics
responsible person for Acoustics Lynk & Co,access_governance,Lynk & Co,08 EM-P,2025,Acoustics
since when Traction battery collected Volvo?,temporal_stats,Volvo,EX90,2024,Traction battery
Whqt are the peaks of Autonomous sensor in Lynk & Co Z10?,statistical_query,Lynk & Co,Z10,2024,Autonomous sensor
status of Tire Pressure collection in Geely Auto,system_status_check,Geely Auto,Geometry E,2025,Tire Pressure
since when NVH collected Lotus?,temporal_stats,Lotus,Emeya,2024,NVH
frequency of tyre pressure errors lynk & co,anomaly_info,Lynk & Co,01,2021,Tyre Pressure
Lidar glitching on 01?,anomaly_info,Jiyue,01,2024,Lidar
Eletre CAN-FD data type?,data_definition,Lotus,Eletre,2024,CAN-FD
give me CANBUS max min 001,statistical_query,Zeekr,001,2023,CANBUS
When did we start collecting Hood sensor for 09 Ultra?,temporal_stats,Lynk & Co,09 Ultra,2025,Hood sensor
show Polestar Acoustics owner now,imperative_commands,Polestar,Polestar 4,2024,Acoustics
noise and vibration performance lotus vs lotus,comparative_analysis,Lotus,Emeya,2025,Noise and Vibration
who workong on Zeekr High Voltage battery right now?,access_governance,Zeekr,Mix,2024,High Voltage battery
responsible person for ADAS Camera Lotus,access_governance,Lotus,Emeya,2024,ADAS Camera
is control network more accurate in xc90 or ex30,comparative_analysis,Volvo,XC90,2025,Control Network
when stop Lidar for Geely Auto?,temporal_stats,Geely Auto,Galaxy L7,2023,Lidar
why we use Parquet for ADAS Camera?,data_definition,Jiyue,07,2025,ADAS Camera
peak values Traction battery 3 last week,statistical_query,Polestar,Polestar 3,2024,Traction battery
